INCLUIDO/ RDC 35/2012 CAP V ART 10
INCLUIDO/ RDC 35/2012 CAP V ART 11-I
INCLUIDO/RDC 35/2012 CAP V ART 11-II
INCLUIDO/ RDC 35/2012 CAP V ART 11-III
LISTA DE MEDICAMENTOS DE REFERÊNCIA,"","","","",""
FÁRMACO,DETENTOR,"",NOME COMERCIAL,CONCENTRAÇÃO,FORMA FARMACÊUTICA,DATA INCLUSÃO
cetoprofeno,Sanofi-Aventis,PROFENID,1mg/mL,xpe,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID ENTÉRICO,100mg,com rev,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID IM,50mg/mL,sol inj,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID IV,100mg,po liof sol inj,12/11/2012
cetoprofeno,Sanofi-Aventis,PROFENID RETARD,200mg,com desint lenta,12/11/2012
Cetoprofeno (lisinato),Aché,ARTROSIL,160mg,cap,12/11/2012
Cetoprofeno (lisinato),Aché,ARTROSIL,320mg,cap,12/11/2012
Cetotifeno (fumarato),Novartis Biociências,ZADITEN,"0,2mg/mL",xpe,12/11/2012
Cetotifeno (fumarato),Novartis Biociências,ZADITEN,1mg,com,12/11/2012
Cetotifeno (fumarato),Novartis Biociências,ZADITEN,1mg/mL,sol or,12/11/2012
Cetotifeno (fumarato),Novartis Biociências,ZADITEN,2mg,com lib lenta,12/11/2012
Cetotifeno (fumarato),Novartis Biociências,ZADITEN,"0,250 mg/mL",sol oft,12/11/2012
Ciclesonida,Nycomed,Omnaris,50 mcg/dose,sus spr nas,12/11/2012
Ciclobenzaprina (cloridrato),Apsen,MIOSAN,"5,0mg",com rev,12/11/2012
Ciclobenzaprina (cloridrato),Apsen,MIOSAN,10 mg,com rev,12/11/2012
Ciclopirox,Sanofi-Aventis,LOPROX NL,80mg/g,esml,12/11/2012
Ciclopirox olamina,Sanofi-Aventis,LOPROX,10mg/g,crem derm,12/11/2012
Ciclopirox olamina,Sanofi-Aventis,LOPROX,10mg/mL,sol top,12/11/2012
Ciclosporina,Allergan,RESTASIS,"0,5mg/g",emul oft,12/11/2012
Ciclosporina,Novartis Biociências,SANDIMMUN,50 mg/mL,sol inj,12/11/2012
Ciclosporina,Novartis Biociências,SANDIMMUN NEORAL,100 mg/mL,sol or,12/11/2012
Ciclosporina,Novartis Biociências,SANDIMMUN NEORAL,25mg,cap mole,12/11/2012
Ciclosporina,Novartis Biociências,SANDIMMUN NEORAL,50mg,cap mole,12/11/2012
Ciclosporina,Novartis Biociências,SANDIMMUN NEORAL,100mg,cap mole,12/11/2012
Cilazapril,Roche,VASCASE,"1,0mg",com rev,12/11/2012
Cilazapril,Roche,VASCASE,"2,5mg",com rev,12/11/2012
Cilazapril,Roche,VASCASE,"5,0mg",com rev,12/11/2012
Cilostazol,Libbs,CEBRALAT,50mg,com,12/11/2012
Cilostazol,Libbs,CEBRALAT,100mg,com,12/11/2012
Cimetidina,Glaxosmithkline,TAGAMET,200mg,com rev,12/11/2012
Cimetidina,Glaxosmithkline,TAGAMET,400mg,com rev,12/11/2012
Cimetidina,Teuto,GENÉRICO,150mg/mL,sol inj,07/03/2013
Cinarizina,Janssen Cilag,STUGERON,25mg,com,12/11/2012
Cinarizina,Janssen Cilag,STUGERON,75mg,com,12/11/2012
Cinacalcete (cloridrato),Bergamo,MIMPARA,30mg,com revestido,10/05/2013
Cinacalcete (cloridrato),Bergamo,MIMPARA,60mg,com revestido,10/05/2013
Ciprofibrato,Sanofi-Aventis,OROXADIN,100mg,com,12/11/2012
Ciprofloxacino,Bayer,CIPRO SOL  INFUSÃO  GLICOSE,"2,0mg/mL",sol infusao inj,12/11/2012
Ciprofloxacino,HalexIstar,GENÉRICO sol cloreto de sódio,"2,0 mg/ml",sol inj,12/11/2012
Ciprofloxacino (cloridrato),Alcon,CILOXAN,3mg/mL,sol otol,12/11/2012
Ciprofloxacino (cloridrato),Allergan,BIAMOTIL,"3,5mg/g",pom oft,12/11/2012
Ciprofloxacino (cloridrato),Allergan,BIAMOTIL,"3,5mg/mL",sol oft,12/11/2012
Ciprofloxacino (cloridrato),Bayer,CIPRO,250mg (como,com rev,12/11/2012
Ciprofloxacino (cloridrato),Bayer,CIPRO,500mg (como,com rev,12/11/2012
Ciproterona (acetato),Bayer,ANDROCUR,50mg,com,12/11/2012
Ciproterona (acetato),Bayer,ANDROCUR,100mg,com,12/11/2012
Cisatracúrio (besilato),Glaxosmithkline,NIMBIUM,"2,0mg/mL",sol inj,12/11/2012
Cisatracúrio (besilato),Glaxosmithkline,NIMBIUM,"5,0mg/mL",sol inj,12/11/2012
Cisplatina,Zodiac,TECNOPLATIN,"0,5 mg/ml",sol inj,12/11/2012
Cisplatina,Blausiegel,C-PLATIN,1 mg/ml,sol inj,12/11/2012
Citarabina,Pfizer,ARACYTIN CS,20mg/mL,sol inj,12/11/2012
Citarabina,Pfizer,ARACYTIN CS,100mg/mL,sol inj,12/11/2012
Citarabina,Pfizer,ARACYTIN,100mg,po liof sol inj,12/11/2012
Citarabina,Janssen Cilag,LEUSTATIN,1mg/mL,sol inj,12/11/2012
Citicolina sódica,Solvay Farma,SOMAZINA,500 mg,com rev,12/11/2012
Claritromicina,Abbott,KLARICID,25mg/mL,susp or,12/11/2012
Claritromicina,Abbott,KLARICID,50mg/mL,susp or,12/11/2012
Claritromicina,Abbott,KLARICID,500mg,po liof sol inj,12/11/2012
Claritromicina,Abbott,KLARICID UD,500mg,com rev lib prol,12/11/2012
Claritromicina,Medley,CLARITROMICINA GENÉRICO,250mg,comp rev,10/05/2013
Claritromicina,Medley,CLARITROMICINA GENÉRICO,500mg,comp rev,10/05/2013
Clomipramina (cloridrato),Novartis Biociências,ANAFRANIL,25 mg,drag,12/11/2012
Clomipramina (cloridrato),Novartis Biociências,ANAFRANIL,75mg,com lib lenta,12/11/2012
Clindamicina (cloridrato),Pfizer,DALACIN C,300mg,cap dura,12/11/2012
Clindamicina (fosfato),Stiefel,CLINAGEL,"10,3mg/g",gel,12/11/2012
Clindamicina (fosfato),União Química,FOSFATO DE CLINDAMICINA,150 mg/ml,sol inj,13/03/2013
Clindamicina (fosfato),Pfizer,DALACIN T,10mg/ml,sol top,12/11/2012
Clobazam,Sanofi-Aventis,FRISIUM,10mg,com,12/11/2012
Clobazam,Sanofi-Aventis,FRISIUM,20 mg,com,12/11/2012
Clobetasol (propionato),Glaxosmithkline,PSOREX,"0,5mg/g",sol capilar,12/11/2012
Clobetasol (propionato),Glaxosmithkline,PSOREX,"0,5mg/g",crem derm,12/11/2012
Clobetasol (propionato),Glaxosmithkline,PSOREX,"0,5mg/g",pom derm,12/11/2012
Clobutinol (cloridrato),EMS S/A,CLORIDRATO DE CLOBUTINOL,"0,4 mg/ml",xpe,07/06/2013
Clonazepam,Roche,RIVOTRIL,"0,5mg",com,12/11/2012
Clonazepam,Roche,RIVOTRIL,"2,0mg",com,12/11/2012
Clonazepam,Roche,RIVOTRIL,"0,25mg",com subl,12/11/2012
Clonazepam,Roche,RIVOTRIL,"2,5mg/ml",sol or (gotas),12/11/2012
Clonidina (cloridrato),Boehringer Ingelheim,ATENSINA,100mcg,com,12/11/2012
Clonidina (cloridrato),Boehringer Ingelheim,ATENSINA,150mcg,com,12/11/2012
Clonidina (cloridrato),Boehringer Ingelheim,ATENSINA,200mcg,com,12/11/2012
Clonidina (cloridrato),Cristália,CLONIDIN,150 mcg/mL,sol inj,12/11/2012
Clonixinato de lisina,Farmoquímica,DOLAMIN,125mg,com rev,22/01/2013
Clopidogrel (bissulfato),Sanofi-Aventis,PLAVIX,300 mg,com rev,12/11/2012
Clopidogrel (bissulfato),Sanofi-Aventis,PLAVIX,75 mg,com rev,13/09/2013
Clorambucila,Glaxosmithkline,LEUKERAN,2mg,com rev,12/11/2012
Cloranfenicol (levógiro),Pfizer,QUEMICETINA,500 mg,drag,12/11/2012
Cloridrato de dapoxetina,Janssen Cilag,PRILIGY,30mg,com rev,12/11/2012
Cloridrato de dapoxetina,Janssen Cilag,PRILIGY,60mg,com rev,12/11/2012
Cloridrato de epinastina,Allergan,RELESTAT,"0,5mg/mL",sol oft,12/11/2012
cloridrato de palonosetrona,Schering Plough,ONICIT,"0,05mg/mL",sol inj,12/11/2012
Cloridrato de sibutramina,Aché,BIOMAG,10mg,cap gel dura,07/06/2013
Cloridrato de sibutramina,Aché,BIOMAG,15mg,cap gel dura,07/06/2013
cloridrato de valganciclovir,Roche,VALCYTE,450mg,com rev,12/11/2012
Clorpromazina (cloridrato),Sanofi-Aventis,AMPLICTIL,25mg,com rev,12/11/2012
Clorpromazina (cloridrato),Sanofi-Aventis,AMPLICTIL,100mg,com rev,12/11/2012
Clorpromazina (cloridrato),Sanofi-Aventis,AMPLICTIL,40mg/mL,sol or,12/11/2012
Clorpromazina (cloridrato),Sanofi-Aventis,AMPLICTIL,"5,0mg/mL",sol inj,12/11/2012
Clorpropamida,Pfizer,DIABINESE,250mg,com,12/11/2012
cloperastina (fendizoato),Zambon,SEKI,20 mg/ml,sus oral,12/11/2012
cloperastina (fendizoato),Zambon,SEKI,2mg/ml,xpe,12/11/2012
cloperastina (fendizoato),Zambon,SEKI,"3,54mg/ml",xpe,21/01/2013
Clortalidona,Novartis Biociências,HIGROTON,"12,5mg",com,12/11/2012
Clortalidona,Novartis Biociências,HIGROTON,25mg,com,12/11/2012
Clortalidona,Novartis Biociências,HIGROTON,50mg,com,12/11/2012
Clotrimazol,Bayer,CANESTEN,10mg/g,sol top (spr),12/11/2012
Clotrimazol,Bayer,CANESTEN,10mg/g,crem derm,12/11/2012
Clotrimazol,Bayer,CANESTEN,10mg/g,po,12/11/2012
Clotrimazol,Bayer,GINO CANESTEN,10mg/g,crem vag,12/11/2012
Clotrimazol,Bayer,GINO CANESTEN,20mg/g,crem vag,12/11/2012
Clotrimazol,Bayer,GINO CANESTEN,100mg,com vag,12/11/2012
Clotrimazol,Bayer,GINO CANESTEN,200mg,com vag,12/11/2012
Clotrimazol,Bayer,GINO CANESTEN,500mg,com vag,12/11/2012
Cloxazolam,Novartis Biociências,OLCADIL,"1,0mg",com,12/11/2012
Cloxazolam,Novartis Biociências,OLCADIL,"2,0mg",com,12/11/2012
Cloxazolam,Novartis Biociências,OLCADIL,"4,0mg",com,12/11/2012
Clozapina,Novartis Biociências,LEPONEX,25mg,com,12/11/2012
Clozapina,Novartis Biociências,LEPONEX,100mg,com,12/11/2012
Codergocrina (mesilato),Novartis Biociências,HYDERGINE,"0,3mg/mL",sol inj,12/11/2012
Codergocrina (mesilato),Novartis Biociências,HYDERGINE,1mg,cap dura,12/11/2012
Codergocrina (mesilato),Novartis Biociências,HYDERGINE,"4,5mg",com,12/11/2012
Codergocrina (mesilato),Novartis Biociências,HYDERGINE,"1,0 mg/mL",sol or,12/11/2012
Codergocrina (mesilato),Novartis Biociências,HYDERGINE,"6,0mg",cap dura desint gradual,12/11/2012
Colchicina,Apsen,COLCHIS,"0,5mg",com,12/11/2012
Colchicina,Apsen,COLCHIS,"1,0mg",com,12/11/2012
Colestiramina,Bristol Myers Squibb,QUESTRAN LIGHT,"852,9 mg/g",po or,16/05/2013
Colistimetato sódico,Opem Imp. Exp. Distribuidora,COLIS-TEK,150mg colistina base,po sol inj,12/11/2012
Colistimetato sódico,Opem Imp. Exp. Distribuidora,PROMIXIN,1.000.000 Ui,po liof sol inj,12/11/2012
Cromoglicato dissódico,Allergan,CROMOLERG OCULUM,20mg/g,sol oft,12/11/2012
Cromoglicato dissódico,Allergan,CROMOLERG OCULUM,40mg/g,sol oft,12/11/2012
Cromoglicato dissódico,UCI Farma,RILAN,20mg/mL,sol spr nas,13/03/2013
Cromoglicato dissódico,UCI Farma,RILAN,40mg/mL,sol spr nas,13/03/2013
Dabigatrana (etexilato),Boehringer Ingelheim,PRADAXA,75mg,cap,22/04/2013
Dabigatrana (etexilato),Boehringer Ingelheim,PRADAXA,110mg,cap,22/04/2013
Dabigatrana (etexilato),Boehringer Ingelheim,PRADAXA,150 mg,cap,22/04/2013
Dacarbazina,Eurofarma,DACARB,100mg,po liof sol inj,12/11/2012
Dacarbazina,Eurofarma,DACARB,200mg,po liof sol inj,12/11/2012
Dactinomicina,Bagó,COSMEGEN,"0,5mg",po liof sol inj,12/11/2012
Danazol,Sanofi-Aventis,LADOGAL,100mg,cap dura,12/11/2012
Danazol,Sanofi-Aventis,LADOGAL,200mg,cap dura,12/11/2012
Darifenacina (bromidrato),Novartis Biociências,ENABLEX,"7,5mg",com rev lib progr,12/11/2012
Darifenacina (bromidrato),Novartis Biociências,ENABLEX,"15,0mg",com rev lib progr,12/11/2012
Dasatinibe,Bristol Myers Squibb,SPRYCEL,20mg,com rev,12/11/2012
Dasatinibe,Bristol Myers Squibb,SPRYCEL,50mg,com rev,12/11/2012
Dasatinibe,Bristol Myers Squibb,SPRYCEL,100mg,com rev,17/03/2014
Dasatinibe,Bristol Myers Squibb,SPRYCEL,140mg,com rev,17/03/2014
Dapoxetina (cloridrato),Janssen Cilag,PRILIGY,30mg,com rev,20/11/2012
Dapoxetina (cloridrato),Janssen Cilag,PRILIGY,60 mg,com rev,20/11/2012
Daptomicina,Novartis Biociências,CUBICIN,500 mg,po liof sol inj,15/01/2013
Darunavir,Janssen Cilag,PREZISTA,75mg,com revestido,30/04/2013
Darunavir,Janssen Cilag,PREZISTA,150mg,com revestido,30/04/2013
Darunavir,Janssen Cilag,PREZISTA,300mg,com revestido,30/04/2013
Daunorrubicina (cloridrato),Pfizer,DAUNOBLASTINA,20mg,po liof sol inj,12/11/2012
Decitabina,Janssen Cilag,DACOGEN,50mg,po liof sol inj,12/11/2012
Deferasirox,Novartis Biociências,EXJADE,125mg,comp disp,22/01/2013
Deferasirox,Novartis Biociências,EXJADE,250mg,comp disp,22/01/2013
Deferasirox,Novartis Biociências,EXJADE,500mg,comp disp,22/01/2013
Deferoxamina (mesilato),Novartis Biociências,DESFERAL,500mg,po liof sol inj,12/11/2012
Deflazacorte,Sanofi-Aventis,CALCORT,"6,0mg",com,12/11/2012
Deflazacorte,Sanofi-Aventis,CALCORT,30mg,com,12/11/2012
Degarelix (acetato),Ferring,FIRMAGON,80mg,po liof sol inj,12/11/2012
Degarelix (acetato),Ferring,FIRMAGON,120mg,po liof sol inj,12/11/2012
Demopressina (acetato),Ferring,DDAVP,"0,1mg/mL",sol nas,12/11/2012
Demopressina (acetato),Ferring,DDAVP,"0,1mg/mL",sol spr nas,12/11/2012
Demopressina (acetato),Ferring,DDAVP,"0,1mg/mL",sol nal + aplic,12/11/2012
Demopressina (acetato),Ferring,DDAVP,"0,1mg",com,12/11/2012
Demopressina (acetato),Ferring,DDAVP,"0,2mg",com,12/11/2012
Demopressina (acetato),Ferring,DDAVP,4mcg/mL,sol inj,12/11/2012
Deslanósido,União Química,DESLANOL,"0,2mg/mL",solç inj,12/11/2012
Desloratadina,Mantecorp,DESALEX,"0,5mg/ml",xpe,12/11/2012
Desloratadina,Mantecorp,DESALEX,5mg,com rev,12/11/2012
Desogestrel,Organon,CERAZETTE,75mcg,com rev,12/11/2012
Desonida,Aché,ADINOS,"0,500mg/g",gel creme,12/11/2012
Desoximetasona,Sanofi-Aventis,ESPERSON,"2,5mg/g",pom derm,12/11/2012
Desvenlafaxina (succinato monoidratado),Wyeth,PRISTIQ,"75,87 mg (= 50mg",com rev lib prol,12/11/2012
Desvenlafaxina (succinato monoidratado),Wyeth,PRISTIQ,"151,77 mg (= 100mg",com rev lib prol,12/11/2012
Dexametasona,Alcon,MAXIDEX,1mg/mL,susp  oft,12/11/2012
Dexametasona,Alcon,MAXIDEX,1mg/g,pom oft,12/11/2012
Dexclorfeniramina (maleato),Mantecorp,POLARAMINE,10mg/g,crem derm,05/12/2012
Dexclorfeniramina (maleato),Mantecorp,POLARAMINE,2mg,comp rev,05/12/2012
Dexclorfeniramina (maleato),Mantecorp,POLARAMINE,"6,0mg",drag,05/12/2012
Dexmedetomidina(Cloridrato),Hospira Prod.Hosp. Ltda,PRECEDEX,100mcg/ml,sol inj,12/11/2012
Dextrocetamina (cloridrato),Cristália,KETAMIN,50mg/ml,sol inj,13/03/2013
Dextrometorfano (bromidrato),Johnson & Johnson,BENALET TSC,3mg/mL,xpe,12/11/2012
Dextrometorfano (bromidrato),Novartis Biociências,TRIMEDAL TOSSE,"7,5mg",film desint or,12/11/2012
Dextrometorfano (bromidrato),Novartis Biociências,TRIMEDAL TOSSE,15 mg,film desint or,12/11/2012
Diazepam,Roche,VALIUM,"5,0mg",com,12/11/2012
Diazepam,Roche,VALIUM,10 mg,com,12/11/2012
Diazepam,União Química,DIAZEPAM,"5,0mg/mL",solç inj,12/11/2012
Diclofenaco (ácido),Novartis Biociências,CATAFLAM,"1,8mg/mL",susp or,12/11/2012
Diclofenaco (ácido),Novartis Biociências,CATAFLAM D,"44,3mg",com disp,12/11/2012
Diclofenaco (colestiramina),Novartis Biociências,FLOTAC,140mg,cap dura,12/11/2012
Diclofenaco (dietilamônio),Novartis Biociências,CATAFLAM,"11,6mg",sol top aer,12/11/2012
Diclofenaco (dietilamônio),Novartis Biociências,CATAFLAM EMULGEL,"11,6mg/g",gel,12/11/2012
Diclofenaco (dietilamônio),Novartis Biociências,CATAFLAM,"44,94mg/mL",susp or (gotas),12/11/2012
Diclofenaco (resinato),Novartis Biociências,CATAFLAM,"44,94mg/mL",susp or (gotas),12/11/2012
Diclofenaco potássico,Novartis Biociências,CATAFLAM,25mg/mL,sol inj,12/11/2012
Diclofenaco potássico,Novartis Biociências,CATAFLAM,50mg,drag,12/11/2012
Diclofenaco potássico,Novartis Biociências,CATAFLAM DOLO,"12,5mg",com rev,12/11/2012
Diclofenaco sódico,Allergan,STILL,1mg/g,pom oft,12/11/2012
Diclofenaco sódico,Merck S/A,ARTREN,100mg,cap dura,12/11/2012
Diclofenaco sódico,Novartis Biociências,VOLTAREN,25mg/mL,sol inj,12/11/2012
Diclofenaco sódico,Novartis Biociências,VOLTAREN,50mg,com rev,12/11/2012
Diclofenaco sódico,Novartis Biociências,VOLTAREN,50mg,sups,12/11/2012
Diclofenaco sódico,Novartis Biociências,VALOTAREN RETARD,100mg,com rev desint lenta,12/11/2012
Diclofenaco sódico,Novartis Biociências,VOLTAREN SR,75mg,com rev desint lenta,12/11/2012
Diclofenaco sódico,EMS,DICLOFENACO SÓDICO,10mg/g,gel,15/04/2013
Diclofenaco sódico,Zodiac,FLODIN DUO,150mg,com desint lenta,12/11/2012
Didanosina,Bristol Myers Squibb,VIDEX EC,250 | 400mg,cap gel dura,30/04/2013
Didanosina,Bristol Myers Squibb,VIDEX EC,4g,pó sol or,30/04/2013
Didrogesterona,Solvay Farma,DUPHASTON,10mg,com rev,12/11/2012
Dienogeste,Bayer,ALLURENE,2mg,com,12/11/2012
Digoxina,Aspen,DIGOXINA,"0,05mg/ml",elx,23/07/2013
Digoxina,Aspen,DIGOXINA,"0,25mg",com,12/11/2012
Dissulfiram,Sanofi-Aventis,ANTIETANOL,250mg,com,23/01/2012
Diltiazem (cloridrato),Boehringer Ingelheim,CARDIZEM,30mg,com,12/11/2012
Diltiazem (cloridrato),Boehringer Ingelheim,CARDIZEM,60mg,com,12/11/2012
Diltiazem (cloridrato),Boehringer Ingelheim,CARDIZEM CD,180mg,cap dura lib gradual,12/11/2012
Diltiazem (cloridrato),Boehringer Ingelheim,CARDIZEM CD,240mg,cap dura lib gradual,12/11/2012
Diltiazem (cloridrato),Boehringer Ingelheim,CARDIZEM SR,90mg,cap dura + microgran,12/11/2012
Diltiazem (cloridrato),Boehringer Ingelheim,CARDIZEM SR,120mg,cap dura + microgran,12/11/2012
Dimenidrinato,Nycomed,DRAMIN,100mg,com,12/11/2012
Dipiridamol,Boehringer Ingelheim,PERSANTIN,100mg,drag,12/11/2012
Dipiridamol,Boehringer Ingelheim,PERSANTIN,5mg/mL,sol inj,12/11/2012
Dipiridamol,Boehringer Ingelheim,PERSANTIN,75mg,drag,12/11/2012
Dipirona sódica monoidratada,Sanofi-Aventis,NOVALGINA,300mg,sups,12/11/2012
Dipirona sódica monoidratada,Sanofi-Aventis,NOVALGINA,500mg,com,12/11/2012
Dipirona sódica monoidratada,Sanofi-Aventis,NOVALGINA,500mg/mL,sol inj,12/11/2012
Dipirona sódica monoidratada,Sanofi-Aventis,NOVALGINA,50mg/mL,sol or,12/11/2012
Dipirona sódica monoidratada,Sanofi-Aventis,NOVALGINA,500mg/mL,sol or,12/11/2012
Dipirona sódica monoidratada,Sanofi-Aventis,NOVALGINA,1000 mg,com,12/11/2012
Divalproato de sódio,Abbott,DEPAKOTE,250mg,com rev,12/11/2012
Divalproato de sódio,Abbott,DEPAKOTE,500mg,com rev,12/11/2012
Divalproato de sódio,Abbott,DEPAKOTE SPRINKLE,125mg,cap + microgran,12/11/2012
Divalproato de sódio,Abbott,DEPAKOTE ER,250mg,com rev lib prolong,22/01/2013
Divalproato de sódio,Abbott,DEPAKOTE ER,500mg,com rev lib prolong,12/11/2012
Dobutamina (cloridrato),Antibióticos do Brasil,DOBUTREX,"12,5mg/mL",sol inj,12/11/2012
Docetaxel (triidratado),Sanofi-Aventis,TAXOTERE,"20mg/0,5mL + diluente",sol inj,12/11/2012
Docetaxel (triidratado),Sanofi-Aventis,TAXOTERE,80mg/2mL + diluente,sol inj,12/11/2012
Docetaxel (triidratado),Sanofi-Aventis,TAXOTERE,20mg/ml,sol inj,10/05/2013
Domperidona,Janssen Cilag,MOTILIUM,10mg,com,12/11/2012
Domperidona,Janssen Cilag,MOTILIUM,1mg/mL,susp or,12/11/2012
Donepezila (cloridrato),Wyeth,ERANZ,"5,0mg",com rev,12/11/2012
Donepezila (cloridrato),Wyeth,ERANZ,10 mg,com rev,12/11/2012
Dorzolamida (cloridrato),Merck Sharp & Dohme,TRUSOPT,20mg/mL,sol oft,12/11/2012
Doxazosina (mesilato),Merck S/A,GENERICO,2 | 4 mg,com,20/11/2012 e 04/02/2013
Doxazosina (mesilato),Pfizer,CARDURAN XL,"4,0 mg",com lib controlada,12/11/2012
Doxiciclina (cloridrato),Pfizer,VIBRAMICINA,100mg,drag,12/11/2012
Doxiciclina (cloridrato),Pfizer,VIBRAMICINA,100mg,drag,12/11/2012
Doxiciclina (cloridrato),Pfizer,VIBRAMICINA,100mg,drag,12/11/2012
Doxiciclina monoidratada,Pfizer,VIBRAMICINA,100mg,com sol,12/11/2012
Doxorrubicina (cloridrato),Pfizer,ADRIBLASTINA RD,10 | 50 mg,po liof sol inj,12/11/2012
cloridrato de dronedarona,Sanofi-Aventis,MULTAQ,400 mg,com rev,12/11/2012
Dropropizina,Abbott,VIBRAL,"1,5 | 3,0 mg/mL",xpe (infantil)/xpe adulto,12/11/2012
Dropropizina,Abbott,VIBRAL,"3,0mg/mL",xpe (adulto),12/11/2012
Dropropizina,Abbott,VIBRAL,30mg/mL,sol or (gotas),12/11/2012
Duloxetina (cloridrato),Eli Lilly,CYMBALTA,30 | 60mg,cap + microgran,12/11/2012
Dutasterida,Glaxosmithkline,AVODART,"0,5mg",cap  mole,12/11/2012
Econazol (nitrato),Stiefel,MICOSTYL,10mg/g,loç cremosa,12/11/2012
Econazol (nitrato),Stiefel,MICOSTYL,10mg/g,crem derm,12/11/2012
Efavirenz,Merck Sharp & Dohme,STOCRIN,30mg/mL,sol or,12/11/2012
Efavirenz,Merck Sharp & Dohme,STOCRIN,50 | 200 mg,cap dura,12/11/2012
Efavirenz,Merck Sharp & Dohme,STOCRIN,300 | 600 mg,com rev,12/11/2012
Enalapril (maleato),Merck Sharp & Dohme,RENITEC,"5,0 | 10 | 20 mg",com,12/11/2012
Enflurano,Cristália,ENFLURAN,1ml/ml,sol inal,13/03/2013
Enfuvirtida,Roche,FUSEON,90mg/ml,po liof sol inj,30/04/2013
Entacapona,Novartis Biociências,CONTAM,200mg,com rev,12/11/2012
Entecavir,Bristol Myers Squibb,BARACLUDE,"0,5mg",com rev,12/11/2012
Epinastina (cloridrato),Aché,TALERC,10 | 20 mg,com rev,12/11/2012
Epinastina (cloridrato),Aché,TALERC,2mg/mL,xpe,12/11/2012
Epirrubicina,Pfizer,FARMORRUBICINA CS,2mg/mL,sol inj,12/11/2012
Epirrubicina,Pfizer,FARMORRUBICINA RD,10 | 50 mg,po liof sol inj,12/11/2012
Erlotinibe (cloridrato),Roche,TARCEVA,25 | 100 | 150mg,com revestido,12/11/2012
Etravirina,Janssen Cilag,INTELENCE,100mg,com,30/04/2013
Eritromicina (estearato),Opem Imp. Exp. Distribuidora,TROMAXIL,1000 mg/mL,po sol inj,12/11/2012
Eritromicina (estolato),Valeant Farmacêutica,ILOSONE,20mg/mL,sol top,24/06/2013
Eritromicina (estolato),Valeant Farmacêutica,ILOSONE,50mg/ml,sus or,24/06/2013
Eritromicina (estolato),Valeant Farmacêutica,ILOSONE,500 mg,drag,24/06/2013
Eritromicina (estolato),Valeant Farmacêutica,ILOSONE,25 mg/ml,sus or,24/06/2013
Eritromicina (estolato),Valeant Farmacêutica,ILOSONE,20mg/g,gel,02/08/2013
Ertapeném sódico,Merck Sharp & Dohme,INVANZ,1g,po liof sol inj,12/11/2012
Escitalopram (oxalato),Lundbeck,LEXAPRO,10mg/mL,sol or,12/11/2012
Escitalopram (oxalato),Lundbeck,LEXAPRO,20 mg/ml,sol or,12/11/2012
Escitalopram (oxalato),Lundbeck,LEXAPRO,10 | 15  | 20 mg,com rev,12/11/2012
Escopolamina (butilbrometo),Boehringer Ingelheim,BUSCOPAN,10mg,drag,12/11/2012
Escopolamina (butilbrometo),Boehringer Ingelheim,BUSCOPAN,10mg/mL,sol or (gotas),12/11/2012
Escopolamina (butilbrometo),Boehringer Ingelheim,BUSCOPAN,20mg/mL,sol inj,12/11/2012
Esomeprazol magnésio triidratado,Astrazeneca,NEXIUM,20 | 40 mg,com rev de lib retard,12/11/2012
Esomeprazol sódico,Astrazeneca,NEXIUM iv,40mg,po liof sol inj,12/11/2012
Espiramicina,Sanofi-Aventis,ROVAMICINA,"1,5 MUI",com rev,12/11/2012
Espironolactona,Pfizer,ALDACTONE,25 | 50 | 100 mg,com,12/11/2012
Estavudina,Bristol Myers Squibb,ZERITAVIR,40 mg,cap dura,12/11/2012
Estazolam,Abbott,NOCTAL,2mg,com,12/11/2012
Estradiol,Janssen Cilag,SYSTEN,"1,6 | 3,2 | 6,4 mg",ades,12/11/2012
Estradiol,Cosmed,HORMODOSE,"0,75mg/1,25g",gel,20/11/2012
Estradiol,Organon,SANDRENA,"1,0 mg/g",gel (sachê),12/11/2012
Estradiol (hemiidratado),Teva Farmacêutica,ESTREVA,"1,0 mg/g",gel,12/11/2012
Estriol,Schering Plough,OVESTRION,"1,0 mg/g",crem vag,12/11/2012
Estriol,Schering Plough,OVESTRION,"1,0mg",com,12/11/2012
Estriol,Schering Plough,OVESTRION,"2,0mg",com,12/11/2012
Etilefrina (cloridrato),Boehringer Ingelheim,EFORTIL,10mg/mL,sol inj,12/11/2012
Etilefrina (cloridrato),Boehringer Ingelheim,EFORTIL,5mg,com,12/11/2012
Etilefrina (cloridrato),Boehringer Ingelheim,EFORTIL,"7,5mg/mL",sol or,12/11/2012
Etodolaco,Apsen,FLANCOX,200| 300 |400 mg,com rev,12/11/2012
Etofenamato,Bayer,ASPISPORT,50mg/g,gel,12/11/2012
Etofibrato,Pfizer,TRICEROL,500mg,cap dura lib retard,12/11/2012
Etomidato,Janssen Cilag,HYPNOMIDATE,2mg/mL,sol inj,12/11/2012
Etonogestrel,Akzo Nobel,IMPLANON,68mg,impl subcutâneo,12/11/2012
Etoposídeo,Bristol Myers Squibb,VEPESID,"10mg, 50mg",cap,12/11/2012
Etoposídeo,Pfizer,EUNADES CS,20 mg/ml,sol inj,12/11/2012
